候,人丨乛一矢,亻丨乛一矢,侯丨
倚,人奇,亻奇
倛,人其,亻其
倜,人周,亻周
倝,十日十人
倞,人京,亻京
借,人昔,亻昔
倠,人隹,亻隹
倡,人昌,亻昌
倢,人疌,亻疌
倣,人放,亻放
値,人直,亻直
倥,人空,亻空
倦,人卷,亻卷
倧,人宗,亻宗
倨,人居,亻居
倩,人青,亻青
倪,人兒,亻兒
倫,人侖,亻侖
倬,人卓,亻卓
倭,人委,亻委
倮,人果,亻果
倯,人松,亻松
倰,人夌,亻夌
倱,人昆,亻昆
倲,人東,亻東
倳,人事,亻事
倴,人奔,亻奔
倵,人武,亻武
倶,人具,亻具
倷,人奈,亻奈
倸,人采,亻采
倹,人人一口人,亻人一口人
倻,人耶,亻耶
值,人直,亻直
倽,人舍,亻舍
偀,人英,亻英
偁,人爯,亻爯
偂,人前,亻前
偃,人匽,亻匽,人匚妟,亻匚妟,人匚日女,亻匚日女
偄,人耎,亻耎
偅,人重,亻重
偆,人春,亻春
假,人叚,亻叚
偈,人曷,亻曷
偉,人韋,亻韋
偊,人禹,亻禹
偋,人屏,亻屏
偌,人若,亻若
偍,人是,亻是
偎,人畏,亻畏
偏,人扁,亻扁
偐,人彦,亻彦
偑,人風,亻風
偒,人易,亻易
偓,人屋,亻屋
偔,人咢,亻咢
偕,人皆,亻皆
偖,人者,亻者
偗,人省,亻省
偘,人品,亻品
偙,人帝,亻帝
做,人故,亻故
偛,人臿,亻臿
停,人亭,亻亭
偝,人背,亻背
偞,人枼,亻枼
偟,人皇,亻皇
偠,人要,亻要
偡,人甚,亻甚
偢,人秋,亻秋
偣,人音,亻音
偤,人酋,亻酋
健,人建,亻建
偦,人女疋,亻女疋
偧,人大多,亻大多,人奓,亻奓
偨,人奓,亻奓
偩,人負,亻負
偪,人畐,亻畐
偫,人待,亻待
偬,人怱,亻怱
偭,人面,亻面
偮,人咠,亻咠
偯,人哀,亻哀
偰,人契,亻契
偱,人盾,亻盾
偲,人思,亻思
偳,人耑,亻耑
側,人則,亻則
偵,人貞,亻貞
偶,人禺,亻禺
偷,人俞,亻俞
偸,人兪,亻兪
偹,攸田,人丨备,亻丨备
偺,人昝,亻昝
偼,人疌,亻疌
偽,人為,亻為
傀,人鬼,亻鬼
傁,人叟,亻叟
傂,人虒,亻虒
傃,人素,亻素
傄,人眘,亻眘
傅,人甫寸,亻甫寸,亻尃
傆,人原,亻原
傇,人茸,亻茸
傈,人栗,亻栗
傉,人辱,亻辱
傊,人員,亻員
傋,人冓,亻冓
傌,人馬,亻馬
傍,人旁
傎,人真,亻真
傏,人唐,亻唐
傐,人高,亻高
傑,人桀,亻桀
傒,人奚,亻奚
傓,人扇,亻扇
傔,人丶丶兼,亻丶丶兼
傕,人隺,亻隺
傖,人倉,亻倉
傗,人畜,亻畜
傘,人人人人十
備,人草厂用,亻艹厂用,亻井厂用
傚,人交攴,人交攵,亻交攵
傛,人容,亻容
傜,人月缶,亻月缶,人䍃,亻䍃
傝,人日羽,亻日羽
傞,人差,亻差
傟,人翁,亻翁
傠,人討,亻討
傡,人竝,亻竝
傢,人家,亻家
傣,人泰,亻泰
傪,人參,亻參
傫,人累,亻累
催,人崔,亻崔
傭,人庸,亻庸
傮,人曹,亻曹
傯,人悤,亻悤
傰,人崩,亻崩
傱,人從,亻從
傲,人敖
傳,人專,亻專
傴,人區,亻區
債,人責,亻責
傶,人戚,亻戚
傷,人丿一昜,亻丿一昜,人丿一日一勿
傸,人爽,亻爽
傹,人竟,亻竟
傺,人祭,亻祭
傻,人囟儿夕,亻囟儿夂
傼,人革大,亻革大
傽,人章,亻章
傾,人頃,亻頃
傿,人焉,亻焉
僀,人帶,亻帶
僁,人悉,亻悉
僂,人婁,亻婁
僃,人草勹用,人艸勹用,亻艹勹用
僄,人票,亻票
僅,人堇,亻堇
僆,人連,亻連
僇,人翏,亻翏
僈,人曼,亻曼
僉,人一口口人人
僊,人西大己,亻覀大己
僋,人貪,亻貪
